checkpoint,relation,n_points,slope,intercept,R2,p_value,slope_se,rmse
13,rcmod,12,-0.3596,0.987,0.7447,0.0003008447675692766,0.0666,0.1197
13,tmod,10,-0.3064,0.9755,0.8113,0.0003767572403364415,0.0523,0.1077
13,vmod,16,-0.1759,0.7897,0.3846,0.010387563040678406,0.0595,0.1701
13,xcomp,10,-0.2269,1.0374,0.7595,0.0010180145698621783,0.0451,0.0888
15,acomp,2,,,,,,
15,advcl,17,-0.1454,0.5031,0.4963,0.0015927861364009338,0.0378,0.0794
15,advmod,13,-0.148,0.8396,0.3147,0.04610419772050699,0.0659,0.1677
15,amod,7,-0.1997,0.8897,0.483,0.08306008923844503,0.0924,0.131
15,appos,11,-0.3199,1.001,0.7245,0.0008899645789726235,0.0658,0.1402
15,aux,5,-0.3761,1.0324,0.9139,0.011015211309693233,0.0667,0.0656
15,auxpass,3,-0.0657,0.973,0.9992,0.017944352294696937,0.0019,0.0008
15,cc,20,-0.1125,0.6969,0.4419,0.00138528771533052,0.0298,0.1002
15,ccomp,25,-0.1334,0.9327,0.2383,0.013287972246689749,0.0497,0.165
15,conj,21,-0.2726,0.8413,0.8169,1.9581136066681764e-08,0.0296,0.0857
15,cop,5,-0.2548,0.9577,0.9375,0.006767792153196406,0.038,0.0374
15,csubj,1,,,,,,
15,dep,15,-0.2172,0.7725,0.7087,8.290922522153073e-05,0.0386,0.1052
15,det,8,-0.1498,0.9608,0.464,0.062873628314761,0.0657,0.106
15,discourse,0,,,,,,
15,dobj,10,-0.1744,1.0298,0.6183,0.006985937710767183,0.0484,0.0999
15,expl,1,,,,,,
15,iobj,2,,,,,,
15,mark,15,-0.1677,0.8754,0.4713,0.004702484773947801,0.0493,0.1342
15,mwe,1,,,,,,
15,neg,4,-0.4098,0.9711,0.9407,0.03008305621069118,0.0727,0.0535
15,nn,6,-0.3863,0.8286,0.7996,0.016194905542596144,0.0967,0.117
15,npadvmod,5,-0.185,1.01,0.2591,0.38103861261988653,0.1806,0.1778
15,nsubj,20,-0.1668,0.923,0.6459,1.9689562096504105e-05,0.0291,0.0978
15,nsubjpass,11,-0.1666,0.991,0.3206,0.06939115637719093,0.0809,0.1495
15,num,5,-0.3667,1.0303,0.6402,0.10397094115493337,0.1587,0.1563
15,number,6,-0.541,0.8079,0.8478,0.009168671302155844,0.1146,0.1387
15,parataxis,9,-0.2891,0.8831,0.6788,0.006325321754799276,0.0752,0.1094
15,pcomp,5,-0.1292,0.8934,0.1955,0.45590828381678794,0.1513,0.1489
15,pobj,8,-0.1097,0.9652,0.8393,0.001383627023929543,0.0196,0.0316
15,poss,7,-0.3682,0.9177,0.9718,4.585191826128157e-05,0.0281,0.0398
15,possessive,2,,,,,,
15,preconj,2,,,,,,
15,predet,2,,,,,,
15,prep,21,-0.1024,0.8074,0.3698,0.0034476626982414787,0.0307,0.1076
15,prt,2,,,,,,
15,quantmod,4,-0.3891,0.6219,0.9977,0.001156615974649,0.0132,0.011
15,rcmod,12,-0.2723,0.8815,0.5585,0.005207801813124097,0.0765,0.1376
15,tmod,10,-0.1988,0.9112,0.53,0.016986251504355517,0.0662,0.1364
15,vmod,16,-0.1074,0.7452,0.1101,0.20929676590560128,0.0816,0.2333
15,xcomp,10,-0.2393,1.1044,0.6684,0.003865825916701242,0.0596,0.1172
16,acomp,2,,,,,,
16,advcl,17,-0.1522,0.5167,0.507,0.0013432945741941578,0.0388,0.0814
16,advmod,13,-0.1114,0.7929,0.2585,0.07602376009694192,0.0569,0.1449
16,amod,7,-0.1415,0.8605,0.5499,0.05643255018931833,0.0573,0.0812
16,appos,11,-0.3341,1.0428,0.8425,6.771562835088827e-05,0.0482,0.1026
16,aux,5,-0.4327,1.0475,0.8665,0.021603943866699716,0.0981,0.0966
16,auxpass,3,-0.0628,0.9841,0.7373,0.34256599938977267,0.0375,0.017
16,cc,20,-0.0956,0.6924,0.3454,0.006430137692989334,0.031,0.1042
16,ccomp,25,-0.0473,0.7758,0.0474,0.2958637500291347,0.0442,0.1466
16,conj,21,-0.295,0.9011,0.8503,2.83473774451763e-09,0.0284,0.0821
16,cop,5,-0.2839,0.9798,0.8218,0.033803496465417505,0.0763,0.0751
16,csubj,1,,,,,,
16,dep,15,-0.2066,0.7627,0.5818,0.000943131956995553,0.0486,0.1323
16,det,8,-0.1237,0.9389,0.7947,0.0029444113181723705,0.0257,0.0414
16,discourse,0,,,,,,
16,dobj,10,-0.2049,1.0777,0.4962,0.022950443599195614,0.073,0.1505
16,expl,1,,,,,,
16,iobj,2,,,,,,
16,mark,15,-0.1998,0.912,0.3821,0.014047331669894522,0.0705,0.1919
16,mwe,1,,,,,,
16,neg,4,-0.3339,0.9345,0.9377,0.031638090157632866,0.0608,0.0448
16,nn,6,-0.3848,0.835,0.7962,0.016775500153366662,0.0974,0.1178
16,npadvmod,5,-0.2314,1.0322,0.4377,0.2239665689239425,0.1514,0.1491
16,nsubj,20,-0.1437,0.9124,0.5941,6.970867747822874e-05,0.028,0.0941
16,nsubjpass,11,-0.16,1.0216,0.3021,0.07982523688523165,0.0811,0.1499
16,num,5,-0.3531,1.0185,0.549,0.15198993958474902,0.1848,0.1819
16,number,6,-0.5423,0.8097,0.8475,0.009204042171786176,0.115,0.1391
16,parataxis,9,-0.3524,0.98,0.4955,0.03431215779654454,0.1344,0.1956
16,pcomp,5,-0.2548,0.9557,0.813,0.036452010214981546,0.0705,0.0695
16,pobj,8,-0.1227,0.9808,0.8753,0.0006372760659265004,0.0189,0.0305
16,poss,7,-0.322,0.9113,0.8365,0.003907263931143027,0.0637,0.0902
16,possessive,2,,,,,,
16,preconj,2,,,,,,
16,predet,2,,,,,,
16,prep,21,-0.14,0.869,0.4727,0.000573243755562422,0.0339,0.1191
16,prt,2,,,,,,
16,quantmod,4,-0.4167,0.592,0.9033,0.049577192707339304,0.0964,0.0802
16,rcmod,12,-0.3115,0.9619,0.5435,0.006218848644175683,0.0903,0.1623
16,tmod,10,-0.1849,0.9195,0.3243,0.08570301665732291,0.0943,0.1944
16,vmod,16,-0.0794,0.7082,0.0797,0.2894455985691784,0.0721,0.2062
16,xcomp,10,-0.2034,1.0544,0.7219,0.0018571662824337695,0.0446,0.0878
17,acomp,2,,,,,,
17,advcl,17,-0.1595,0.5053,0.7458,7.962099018479815e-06,0.024,0.0505
17,advmod,13,-0.1322,0.8225,0.3611,0.02986307895260636,0.053,0.135
17,amod,7,-0.1331,0.845,0.5142,0.06971256921320451,0.0578,0.082
17,appos,11,-0.3348,1.0782,0.8146,0.00014290651877749984,0.0532,0.1135
17,aux,5,-0.4744,1.0678,0.8437,0.027559876829285106,0.1179,0.1161
17,auxpass,3,-0.0687,0.9551,0.644,0.4070115674668846,0.0511,0.0232
17,cc,20,-0.0763,0.66,0.2531,0.023745271155747955,0.0309,0.1039
17,ccomp,25,-0.0599,0.8269,0.1526,0.053491792200193865,0.0294,0.0976
17,conj,21,-0.2936,0.9066,0.8232,1.3983178048536959e-08,0.0312,0.0903
17,cop,5,-0.3274,0.9746,0.9663,0.002647785208798437,0.0353,0.0347
17,csubj,1,,,,,,
17,dep,15,-0.2653,0.8539,0.7888,9.807344575841902e-06,0.0381,0.1037
17,det,8,-0.0907,0.9188,0.4899,0.05327532248864433,0.0378,0.0609
17,discourse,0,,,,,,
17,dobj,10,-0.2056,1.0802,0.493,0.023595530537362647,0.0737,0.152
17,expl,1,,,,,,
17,iobj,2,,,,,,
17,mark,15,-0.1701,0.8843,0.4796,0.00421641844131426,0.0491,0.1338
17,mwe,1,,,,,,
17,neg,4,-0.3886,0.9414,0.9357,0.0326679905699534,0.072,0.053
17,nn,6,-0.3582,0.8213,0.7781,0.02002243765610239,0.0956,0.1157
17,npadvmod,5,-0.2704,1.0375,0.3746,0.272557941783411,0.2017,0.1986
17,nsubj,20,-0.152,0.9243,0.5353,0.00024608344306789235,0.0334,0.1122
17,nsubjpass,11,-0.1003,0.9403,0.204,0.16314616020860978,0.0661,0.1221
17,num,5,-0.4187,1.0287,0.6909,0.0811046681651284,0.1617,0.1592
17,number,6,-0.5342,0.8189,0.8879,0.004902443888370418,0.0949,0.1148
17,parataxis,9,-0.2931,0.8901,0.7425,0.002824563527359432,0.0652,0.095
17,pcomp,5,-0.257,0.916,0.5379,0.15845769577127888,0.1375,0.1354
17,pobj,8,-0.0885,0.938,0.8876,0.0004640842589805707,0.0129,0.0207
17,poss,7,-0.252,0.8729,0.7535,0.011303308713512487,0.0645,0.0914
17,possessive,2,,,,,,
17,preconj,2,,,,,,
17,predet,2,,,,,,
17,prep,21,-0.1622,0.9007,0.5283,0.00018998595484578866,0.0352,0.1235
17,prt,2,,,,,,
17,quantmod,4,-0.3685,0.596,0.9993,0.0003740269609447956,0.0071,0.0059
17,rcmod,12,-0.3265,0.9691,0.5891,0.0035629602501474787,0.0862,0.155
17,tmod,10,-0.1702,0.9347,0.2235,0.16762074613658445,0.1121,0.231
17,vmod,16,-0.1117,0.7452,0.1448,0.14592118035780496,0.0725,0.2073
17,xcomp,10,-0.2099,1.0906,0.5739,0.011146539164168807,0.0639,0.1258
19,acomp,2,,,,,,
19,advcl,17,-0.1697,0.5364,0.5654,0.0004990394794905405,0.0384,0.0806
19,advmod,13,-0.1284,0.8146,0.3345,0.038393410698998244,0.0546,0.1391
19,amod,7,-0.1352,0.8413,0.4943,0.07801773492063616,0.0611,0.0867
19,appos,11,-0.3762,1.1274,0.7723,0.00036788209982729155,0.0681,0.1451
19,aux,5,-0.4312,0.9956,0.9669,0.0025867069980110356,0.0461,0.0454
19,auxpass,3,0.0288,0.9453,0.1988,0.7057918587048313,0.0578,0.0262
19,cc,20,-0.0746,0.6474,0.2204,0.03677559150902536,0.0331,0.1112
19,ccomp,25,-0.0591,0.8094,0.0919,0.1406427716147474,0.0387,0.1285
19,conj,21,-0.3025,0.9161,0.856,1.959231205391287e-09,0.0285,0.0823
19,cop,5,-0.3246,0.943,0.9652,0.002789603321526611,0.0356,0.0351
19,csubj,1,,,,,,
19,dep,15,-0.1902,0.7587,0.5892,0.0008345578695390191,0.044,0.12
